,IDS,Number,deltas,full_01,133_01,104_01,102_01,61_01,56_01,PDB etc. Deltas,PDB etc. Deltas Error,Relative Deltas,Relative Deltas Error,M1 M+N Relative Abundance,M1 M+N Relative Abundance Error,UM1,UM1 Error,Calc U Values,Calc U Values Error
Cmethyl,C,1,-45.0765704786007,1,1,1,x,1,x,-45.0765704786007,2.143210541981144,-15.542856163505883,2.2094954041042785,0.15669295779556777,0.0003628767409706083,0.06848213076708282,1.658987019780754e-05,0.010730665562217858,2.4083685502350528e-05
Cgamma,C,1,-35.15544580825116,1,1,1,1,1,1,-35.15544580825116,3.280477742714966,-5.314892585825939,3.381935817231919,0.15832085466091145,0.000529322478812674,0.06848213076708282,1.658987019780754e-05,0.01084215122436352,3.686338449043665e-05
Calphabeta,C,2,-29.87249757002632,1,1,1,1,x,1,-29.87249757002632,1.5526964568630912,0.1314458040965432,1.6007179967660707,0.318375518201957,0.0005067161982207792,0.06848213076708282,1.658987019780754e-05,0.021803033540612138,3.489592125012387e-05
Ccarboxyl,C,1,-25.049489524702857,1,1,x,1,x,x,-25.049489524702857,1.91803578213016,5.103619046698135,1.9773564764228468,0.15997919273406308,0.0003278097536659173,0.06848213076708282,1.658987019780754e-05,0.01095571387631302,2.1553351690953024e-05
Ocarboxyl,O,2,-12.931251926041908,1,1,x,1,x,x,-12.931251926041908,2.5632363997547123,-12.931251926041895,2.563236399754715,0.010951391277217974,2.7012497505535383e-05,0.06848213076708282,1.658987019780754e-05,0.0007499748347865933,1.947547016533632e-06
Ssulfur,S,1,2.4538584377614705,1,1,1,x,1,x,2.4538584377614705,0.9870448642336461,2.4538584377614687,0.9870448642336502,0.11530494110330315,9.370937962433778e-05,0.06848213076708282,1.658987019780754e-05,0.00789632904291424,7.774952395568445e-06
Namine,N,1,10.020151044627227,1,x,1,1,x,1,10.020151044627227,0.9714127463617576,10.020151044627132,0.9714127463617577,0.054216096290530286,4.586930168082595e-05,0.06848213076708282,1.658987019780754e-05,0.0037128340752400524,3.5709132556258094e-06
Hmethyl,H,3,-250.26730244613324,1,1,1,x,1,x,-250.26730244613324,12.893876923818476,-250.2673024461332,12.893876923818478,0.005115717914776547,8.811253137802025e-05,0.06848213076708282,1.658987019780754e-05,0.00035033509491297035,6.025050808961896e-06
Hgamma,H,2,-99.84156705018808,1,1,1,1,1,1,-99.84156705018808,24.613649500974596,-99.84156705018806,24.613649500974603,0.004094753359562933,0.00011200239544485754,0.06848213076708282,1.658987019780754e-05,0.0002804173550325249,7.667644092543611e-06
Halphabeta,H,3,0.7373343544952871,1,1,1,1,x,1,0.7373343544952871,25.537951030106118,0.7373343544952821,25.537951030106118,0.006828403202752259,0.00017370753558567325,0.06848213076708282,1.658987019780754e-05,0.00046762454159716846,1.1933373757347994e-05
Hamine,H,2,98.04651876769033,1,x,1,1,x,x,98.04651876769033,46.22737685970579,98.04651876769032,46.22737685970577,0.0049949513630881594,0.00021078494767167927,0.06848213076708282,1.658987019780754e-05,0.0003420634515265109,1.440075243933557e-05
Hhydroxyl,H,1,248.6886508589491,1,1,x,1,x,1,248.6886508589491,60.9827550710593,248.68865085894907,60.98275507105928,0.0028400976252603073,0.00013875618035701716,0.06848213076708282,1.658987019780754e-05,0.00019449574425778993,9.498673929868203e-06
Hprotonated,H,1,4.740930443354626,1,x,x,x,x,x,4.740930443354626,109.27376888878668,4.740930443354629,109.2737688887867,0.002285212946953786,0.00024823866993763696,0.06848213076708282,1.658987019780754e-05,0.0001564984473258568,1.7020482242117424e-05
,Stochastic U,Composition,Number,Condensed,M2 M+N Relative Abundance,M2 M+N Relative Abundance Error,UM2,UM2 Error,U Values,U Values Error,Deltas,Deltas Error,Clumped Deltas Stochastic,Clumped Deltas Stochastic Error,Clumped Deltas Relative,Clumped Deltas Relative Error
13C Cmethyl   |   13C Cgamma,0.00011634349876363598,13C13C,1,110000000000000000000,0.0023132861751987465,4.4213036908420574e-06,0.05029867074631553,1.1046993563310954e-05,0.00011635522019268623,2.2412482128620686e-07,,,0.10074846617853703,1.9264060619454098,-20.67648473567026,1.8863847060451389
13C Cmethyl   |   13C Ccarboxyl,0.00011756210160206445,13C13C,1,100010000000000000000,0.0023385287417178767,5.820314986253792e-05,0.05029867074631553,1.1046993563310954e-05,0.00011762514261483365,2.9378917227882354e-06,,,0.5362358439492173,24.990125922830913,-9.98796651955018,24.727265735584055
13C Cmethyl   |   13C Calphabeta,0.00023396106116612843,13C13C,1,100100000000000000000,0.004651299583052024,2.926990537931687e-05,0.05029867074631553,1.1046993563310954e-05,0.00023395419165577835,1.4739831953494404e-06,,,-0.02936176779181369,6.300121857896735,-15.44236260418775,6.203015223209114
13C Ccarboxyl   |   15N Namine,4.067674779855518e-05,13C15N,1,000010001000000000000,0.0008090266356483137,8.846035143541383e-06,0.05029867074631553,1.1046993563310954e-05,4.069297171206638e-05,4.4570138883952223e-07,,,0.398849819350535,10.957153975209245,15.579811454160428,11.123427791052192
13C Cmethyl   |   15N Namine,3.984118074940743e-05,13C15N,1,100000001000000000000,0.0007920569830308404,9.168861373369565e-06,0.05029867074631553,1.1046993563310954e-05,3.983941269648907e-05,4.6120452971707686e-07,,,-0.04437752308345905,11.576075835150451,-5.722572412978189,11.510341703380321
13C Cmethyl   |   17O Ocarboxyl,8.04772913217453e-06,13C17O,1,100000100000000000000,0.00016010564423616248,1.9354273636453573e-06,0.05029867074631553,1.1046993563310954e-05,8.053101898696308e-06,9.743282992971836e-08,,,0.6676127431154687,12.106872426929163,-27.62438225259872,11.76457337602108
13C Calphabeta   |   33S Ssulfur,0.00017216392697036955,13C33S,1,000100010000000000000,0.003422420864635294,1.426519777891759e-05,0.05029867074631553,1.1046993563310954e-05,0.00017214322335101716,7.192658993636526e-07,,,-0.12025526901532811,4.1777967778781155,2.4650605869926037,4.1885990011554055
13C Ccarboxyl   |   33S Ssulfur,8.650992166738902e-05,13C33S,1,000010010000000000000,0.0017210725044658616,1.9429740760756415e-05,0.05029867074631553,1.1046993563310954e-05,8.656765985734315e-05,9.775208194332343e-07,,,0.6674169718487719,11.299522651188838,8.242470362142113,11.385060049445096
15N Namine   |   D Hamine,1.270024838721852e-06,15ND,1,000000001000000000100,2.5283624292938537e-05,2.2684610816516445e-07,0.05029867074631553,1.1046993563310954e-05,1.2717326771214754e-06,1.141165292789806e-08,,,1.344728345111628,8.985377750078257,110.5404805151013,9.9652252033852
17O Ocarboxyl   |   15N Namine,2.7845321221681894e-06,17O15N,1,000000101000000000000,5.535678801798705e-05,1.0258108659685126e-07,0.05029867074631553,1.1046993563310954e-05,2.784372880467995e-06,5.209935373734546e-09,,,-0.057187955896697014,1.871027212168701,-3.0976880448775184,1.8653380284108274
17O Ocarboxyl   |   17O Ocarboxyl,1.4061556320329452e-07,17O17O,1,000001100000000000000,2.7948728860377186e-06,5.284373147853917e-09,0.05029867074631553,1.1046993563310954e-05,1.405784181697224e-07,2.8145961454466377e-10,,,-0.26416018771904703,2.001624913579052,-25.952659091703165,1.9501925878075594
17O Ocarboxyl   |   33S Ssulfur,5.922048069380192e-06,17O33S,1,000000110000000000000,0.00011773768071106861,2.2006203782321018e-07,0.05029867074631553,1.1046993563310954e-05,5.9220488224514504e-06,1.1137407578420557e-08,,,0.00012716398956592556,1.8806682161204105,-10.508999122323056,1.8609040388478373
18O Ocarboxyl,0.003910670206299618,18O,1,000000200000000000000,0.07773027857350363,0.00013877597216227776,0.05029867074631553,1.1046993563310954e-05,0.003909729699000524,7.038331869486011e-06,-25.102309245830824,1.7550199155909676,,,-25.10230924583083,1.755019915590968
33S Ssulfur   |   15N Namine,2.931775953983966e-05,33S15N,1,000000011000000000000,0.0005828777803804384,1.079818930156464e-06,0.05029867074631553,1.1046993563310954e-05,2.93179776267598e-05,5.472871244645688e-08,,,0.0074387307745311625,1.8667426606076938,12.50612921905307,1.8900743257859172
34S Ssulfur,0.04437302479348248,34S,1,000000020000000000000,0.8822681016444973,0.00016871147080808974,0.05029867074631553,1.1046993563310954e-05,0.044376911108239846,4.569863730909668e-06,4.852773800453118,0.10347814057391867,,,4.852773800452793,0.10347814057391291
,Stochastic U,Composition,Number,Condensed,M3 M+N Relative Abundance,M3 M+N Relative Abundance Error,UM3,UM3 Error,U Values,U Values Error,Deltas,Deltas Error,Clumped Deltas Stochastic,Clumped Deltas Stochastic Error,Clumped Deltas Relative,Clumped Deltas Relative Error
13C Cgamma   |   13C Calphabeta   |   13C Calphabeta,1.2885145140660814e-06,13C13C13C,1,011100000000000000000,0.00043121186471977634,7.483658181941479e-07,0.0029885205678028444,1.2676431049981038e-05,1.2886855982170743e-06,5.9214596151029554e-09,,,0.1327762699794859,4.59557075256917,-4.921275731227936,4.572347582496355
13C Cmethyl   |   13C Ccarboxyl   |   15N Namine,4.3648857678497755e-07,13C13C15N,1,100010001000000000000,0.00014616122606138748,3.500046962115181e-06,0.0029885205678028444,1.2676431049981038e-05,4.368127270314193e-07,1.0902144451780706e-08,,,0.7426316831244831,24.9769295959177,0.13837480754159007,24.961848314315972
13C Cmethyl   |   13C Cgamma   |   33S Ssulfur,9.186865482415563e-07,13C13C33S,1,110000010000000000000,0.0003075543623632935,5.270176912976841e-07,0.0029885205678028444,1.2676431049981038e-05,9.191326491453655e-07,4.228471930357257e-09,,,0.4855855402070512,4.602736307014516,-17.895596717561233,4.518173634481857
13C Cmethyl   |   17O Ocarboxyl   |   15N Namine,2.9879882950239626e-08,13C17O15N,1,100000101000000000000,9.9998272601034e-06,1.5199246031134533e-07,0.0029885205678028444,1.2676431049981038e-05,2.9885280784766254e-08,5.077857594807489e-10,,,0.18065112690077437,16.994235229314267,-18.358966855173744,16.679225507126564
13C Cmethyl   |   17O Ocarboxyl   |   17O Ocarboxyl,1.508898581577462e-09,13C17O17O,1,100001100000000000000,5.049611765437588e-07,5.719667126175918e-09,0.0029885205678028444,1.2676431049981038e-05,1.509104740943645e-09,1.9676793488702025e-11,,,0.13662904100924833,13.04050101772323,-40.707715316122496,12.507943066447988
13C Cmethyl   |   18O Ocarboxyl,4.196409410793075e-05,13C18O,1,100000200000000000000,0.01404947779124628,0.0001606988303283432,0.0029885205678028444,1.2676431049981038e-05,4.198817183529889e-05,5.900688580826697e-07,,,0.573769740058545,14.061279544484513,-39.473326707887026,13.49848903854732
13C Ccarboxyl   |   33S Ssulfur   |   15N Namine,3.2119698501302934e-07,13C33S15N,1,000010011000000000000,0.0001075871783969623,1.514140690460979e-06,0.0029885205678028444,1.2676431049981038e-05,3.215352676790266e-07,5.289164653387987e-09,,,1.053193777592203,16.467043279293023,18.737804145362563,16.757950142298554
