,IDS,Number,deltas,full_01,133_01,104_01,102_01,61_01,56_01,VPDB etc. Deltas,VPDB etc. Deltas Error,Relative Deltas,Relative Deltas Error,M1 M+N Relative Abundance,M1 M+N Relative Abundance Error,UM1,UM1 Error,Calc U Values,Calc U Values Error
Cmethyl,C,1,-62.39205907098091,1,1,1,x,1,x,-62.39205907098091,2.1323591431064814,-15.117709108173237,2.239873049481592,0.1536511834036402,0.0003603464572778277,0.0682224410914492,1.659619864249888e-05,0.010482456779586447,2.3839775219930468e-05
Cgamma,C,1,-23.91538796775508,1,1,1,1,1,1,-23.91538796775508,3.2669035075472905,-6.023816667775023,3.3267856492334946,0.15995651933155902,0.0005262285093803874,0.0682224410914492,1.659619864249888e-05,0.010912625962520498,3.6523981214378726e-05
Calphabeta,C,2,-37.74705549677379,1,1,1,1,x,1,-37.74705549677379,1.5410139013907644,0.26293607403999547,1.6018855523812545,0.31537974577748457,0.0005018630419706666,0.0682224410914492,1.659619864249888e-05,0.02151597583909215,3.4457070835097484e-05
Ccarboxyl,C,1,-3.224942919322753,1,1,x,1,x,x,-3.224942919322753,1.8926609860084533,4.813565605521235,1.9079243810569142,0.16334723827488043,0.00032429485696155265,0.0682224410914492,1.659619864249888e-05,0.011143945138161993,2.1159949823574486e-05
Ocarboxyl,O,2,12.901486046197142,1,1,x,1,x,x,12.901486046197142,2.595168965577154,-11.803428247612482,2.5318721615386885,0.011280779391111216,2.734810272943794e-05,0.0682224410914492,1.659619864249888e-05,0.0007696025490979003,1.971809380045519e-06
Ssulfur,S,1,2.2918220469532025,1,1,1,x,1,x,2.2918220469532025,0.9841467607426798,2.2918220469531976,0.9841467607426713,0.1157251423565073,9.386724034681969e-05,0.0682224410914492,1.659619864249888e-05,0.00789505268226385,7.752124034370075e-06
Namine,N,1,10.054206837297196,1,x,1,1,x,1,10.054206837297196,0.9734774060272731,10.05420683729706,0.9734774060272696,0.05442430552982294,4.603324005538093e-05,0.0682224410914492,1.659619864249888e-05,0.0037129592643339025,3.578502944556253e-06
Hmethyl,H,3,-361.45101074113177,1,1,1,x,1,x,-361.45101074113177,13.068824484290715,-290.50112304570183,14.52091609365635,0.004373653428198201,8.960668715087828e-05,0.0682224410914492,1.659619864249888e-05,0.0002983811717008843,6.106800305019364e-06
Hgamma,H,2,15.998484303641856,1,1,1,1,1,1,15.998484303641856,24.720236619857086,-76.36501426941663,22.472942381688227,0.004639293872444858,0.00011293460015074087,0.0682224410914492,1.659619864249888e-05,0.0003165038478302714,7.700848111817877e-06
Halphabeta,H,3,92.87758672416373,1,1,1,1,x,1,92.87758672416373,24.592807210349605,-6.474921159851282,22.357097463954172,0.00748549865893554,0.0001678810582849153,0.0682224410914492,1.659619864249888e-05,0.0005106798387244664,1.1491726953252165e-05
Hamine,H,2,4.360192465445818,1,x,1,1,x,x,4.360192465445818,46.063837397272565,115.955769406051,51.18204155252506,0.004586169641103223,0.000210780224927424,0.0682224410914492,1.659619864249888e-05,0.00031287828715683655,1.4349806625998345e-05
Hhydroxyl,H,1,309.8562644769318,1,1,x,1,x,1,309.8562644769318,59.30655200799095,247.4821566446962,56.48243048380089,0.002990560038096033,0.00013542985305492816,0.0682224410914492,1.659619864249888e-05,0.0002040232117549268,9.237588540764677e-06
Hprotonated,H,1,-54.04424151892013,1,x,x,x,x,x,-54.04424151892013,108.88548914291425,-4.257096335705434,114.61630436096239,0.002159698875745938,0.0002483205300355584,0.0682224410914492,1.659619864249888e-05,0.00014734206894101301,1.696000378890035e-05
,Stochastic U,Composition,Number,Condensed,M2 M+N Relative Abundance,M2 M+N Relative Abundance Error,UM2,UM2 Error,U Values,U Values Error,Deltas,Deltas Error,Clumped Deltas Stochastic,Clumped Deltas Stochastic Error,Clumped Deltas Relative,Clumped Deltas Relative Error
13C Cmethyl   |   13C Cgamma,0.00011439113000391396,13C13C,1,110000000000000000000,0.002267252409854317,4.3270019021444205e-06,0.05047171462091797,1.1344187858869259e-05,0.00011443211718956691,2.2020843462598617e-07,,,0.3583073762062152,1.9250481625494165,-20.69969462653702,1.8845250142300232
13C Cmethyl   |   13C Ccarboxyl,0.00011681592326486526,13C13C,1,100010000000000000000,0.0023133881822345456,5.734213844996202e-05,0.05047171462091797,1.1344187858869259e-05,0.00011676092353705017,2.9045529746945615e-06,,,-0.4708238935057082,24.864358329890162,-10.842851781896787,24.606343032098486
13C Cmethyl   |   13C Calphabeta,0.0002255402868039093,13C13C,1,100100000000000000000,0.004466045228294689,2.8586062592968562e-05,0.05047171462091797,1.1344187858869259e-05,0.00022540896566390994,1.4445168073534946e-06,,,-0.5822513656437556,6.404695266745831,-15.43234786452861,6.309529513598971
13C Ccarboxyl   |   15N Namine,4.137701434196728e-05,13C15N,1,000010001000000000000,0.0008201537349318039,8.739725978273493e-06,0.05047171462091797,1.1344187858869259e-05,4.139457269005339e-05,4.4190121412930844e-07,,,0.42435029122805745,10.6798719326905,15.346848998940235,10.839174707625672
13C Cmethyl   |   15N Namine,3.89209350127452e-05,13C15N,1,100000001000000000000,0.0007705266933614571,9.096447705188552e-06,0.05047171462091797,1.1344187858869259e-05,3.8889802621131083e-05,4.5913372806768093e-07,,,-0.7998880706207044,11.79657497738251,-6.011215100467425,11.735049954211181
13C Cmethyl   |   17O Ocarboxyl,8.067325458378291e-06,13C17O,1,100000100000000000000,0.00015965010157336667,1.9681711323707285e-06,0.05047171462091797,1.1344187858869259e-05,8.05781521094156e-06,9.94219636701575e-08,,,-1.1788600182044398,12.324030334849466,-27.890030683508353,11.994452531195304
13C Calphabeta   |   33S Ssulfur,0.00016986976275994858,13C33S,1,000100010000000000000,0.0033654534487483267,1.4055587652514685e-05,0.05047171462091797,1.1344187858869259e-05,0.0001698602091530059,7.111828507678344e-07,,,-0.056240774033176504,4.1866359216198035,2.498976234186622,4.197334286618276
13C Ccarboxyl   |   33S Ssulfur,8.798203395404688e-05,13C33S,1,000010010000000000000,0.0017447367556374166,1.9204089965120302e-05,0.05047171462091797,1.1344187858869259e-05,8.805985600181523e-05,9.694900630034293e-07,,,0.8845220355897764,11.01918220610579,8.007236153695278,11.097599329101934
15N Namine   |   D Hamine,1.161704334907897e-06,15ND,1,000000001000000000100,2.2985083487070783e-05,2.397832061620261e-07,0.05047171462091797,1.1344187858869259e-05,1.1600965582544139e-06,1.2103555477365444e-08,,,-1.3839809366050428,10.418791695672763,125.61582968649921,11.743810068112898
17O Ocarboxyl   |   15N Namine,2.8575029145280394e-06,17O15N,1,000000101000000000000,5.654588629956225e-05,1.0464269874629693e-07,0.05047171462091797,1.1344187858869259e-05,2.8539678627825947e-06,5.334512864091719e-09,,,-1.237112209919819,1.8668442425623202,-3.1026969328717366,1.8633571725663975
17O Ocarboxyl   |   17O Ocarboxyl,1.4807202089449665e-07,17O17O,1,000001100000000000000,2.926295900939449e-06,5.5257226876444316e-09,0.05047171462091797,1.1344187858869259e-05,1.476952005895648e-07,2.957085075309869e-10,,,-2.5448447495711415,1.9970586323103097,-25.95265909170076,1.9501925878075543
17O Ocarboxyl   |   33S Ssulfur,6.076052669532477e-06,17O33S,1,000000110000000000000,0.00012026675941575205,2.2448924497197084e-07,0.05047171462091797,1.1344187858869259e-05,6.070069544407584e-06,1.1404011974972778e-08,,,-0.9847059349727713,1.8768783937895404,-10.513970720010619,1.8589754935136507
18O Ocarboxyl,0.004109900230076287,18O,1,000000200000000000000,0.08118730301623467,0.000144421253167478,0.05047171462091797,1.1344187858869259e-05,0.004097662399878483,7.353285242940827e-06,21.759026500718168,1.833554070152812,,,-25.110653613993374,1.7494460852834157
