,IDS,Number,deltas,full_01,133_01,104_01,102_01,61_01,56_01,VPDB etc. Deltas,VPDB etc. Deltas Error,Relative Deltas,Relative Deltas Error,M1 M+N Relative Abundance,M1 M+N Relative Abundance Error,UM1,UM1 Error,Calc U Values,Calc U Values Error
Cmethyl,C,1,-44.90904809826253,1,1,1,x,1,x,-44.90904809826253,2.106733990494491,-15.370152678621208,2.1718907118499873,0.15655318631686296,0.0003549105960831485,0.06820633218916052,1.683929376484335e-05,0.010677916842261414,2.3553286013728434e-05
Cgamma,C,1,-35.142093041368994,1,1,1,1,1,1,-35.142093041368994,3.2521116831868455,-5.301126846772198,3.352692456893651,0.1581540705393075,0.0005213731157713895,0.06820633218916052,1.683929376484335e-05,0.010787111399797503,3.635860861802891e-05
Calphabeta,C,2,-29.893260295878832,1,1,1,1,x,1,-29.893260295878832,1.5019109354381257,0.1100409320836131,1.5483617891114743,0.31802894916588625,0.0004998061891133095,0.06820633218916052,1.683929376484335e-05,0.021691586699784104,3.3582728516396505e-05
Ccarboxyl,C,1,-25.140435166419905,1,1,x,1,x,x,-25.140435166419905,2.032219812794541,5.009860653175354,2.095071971953128,0.15979354835123816,0.00034399773360073763,0.06820633218916052,1.683929376484335e-05,0.01089892993483942,2.2720217507042968e-05
Ocarboxyl,O,2,-12.859520958101422,1,1,x,1,x,x,-12.859520958101422,2.411065926114263,-12.859520958101431,2.411065926114262,0.010996473395798564,2.5367188079007175e-05,0.06820633218916052,1.683929376484335e-05,0.0007500293359760344,1.831927890661616e-06
Ssulfur,S,1,2.4850842578226615,1,1,1,x,1,x,2.4850842578226615,1.0112615802764442,2.4850842578226655,1.0112615802764473,0.11577479243136153,9.609319403339923e-05,0.06820633218916052,1.683929376484335e-05,0.007896575008698866,7.965707467837559e-06
Namine,N,1,9.99989051264849,1,x,1,1,x,1,9.99989051264849,0.9046270499282286,9.999890512648363,0.9046270499282312,0.05443423316000238,4.3176468798427705e-05,0.06820633218916052,1.683929376484335e-05,0.003712759597524495,3.3254090355361674e-06
Hmethyl,H,3,-250.074830949584,1,1,1,x,1,x,-250.074830949584,13.188609962214635,-250.07483094958403,13.18860996221464,0.005137721451707589,9.043012109469018e-05,0.06820633218916052,1.683929376484335e-05,0.0003504250329938786,6.162773663143656e-06
Hgamma,H,2,-89.35823497867156,1,1,1,1,1,1,-89.35823497867156,46.99501996180744,-89.35823497867159,46.99501996180742,0.004159206574650829,0.00021495425339486114,0.06820633218916052,1.683929376484335e-05,0.0002836831226394438,1.4639888618502251e-05
Halphabeta,H,3,-7.839869087270082,1,1,1,1,x,1,-7.839869087270082,37.00010487886282,-7.839869087270063,37.00010487886282,0.006797240704665297,0.0002528038299854174,0.06820633218916052,1.683929376484335e-05,0.00046361658597290136,1.7289409007795013e-05
Hamine,H,2,99.81457883551775,1,x,1,1,x,x,99.81457883551775,45.17030710137443,99.81457883551776,45.17030710137443,0.005023220818345927,0.00020673666131680701,0.06820633218916052,1.683929376484335e-05,0.0003426142375988402,1.4071454068220155e-05
Hhydroxyl,H,1,252.73327346864335,1,1,x,1,x,1,252.73327346864335,62.07054535989487,252.73327346864338,62.07054535989488,0.0028608172881754417,0.000141779447464117,0.06820633218916052,1.683929376484335e-05,0.00019512573467547571,9.668108145257235e-06
Hprotonated,H,1,1.2032005927536336,1,x,x,x,x,x,1.2032005927536336,108.5477624584693,1.2032005927536304,108.54776245846928,0.0022863772043508965,0.000247603824823074,0.06820633218916052,1.683929376484335e-05,0.00015594741052432745,1.6907399480531187e-05
,Stochastic U,Composition,Number,Condensed,M2 M+N Relative Abundance,M2 M+N Relative Abundance Error,UM2,UM2 Error,U Values,U Values Error,Deltas,Deltas Error,Clumped Deltas Stochastic,Clumped Deltas Stochastic Error,Clumped Deltas Relative,Clumped Deltas Relative Error
18O Ocarboxyl,0.003911223417595442,18O,1,000000200000000000000,0.07776641612125378,0.0001626878736803666,0.05028095439461563,5.2771613837136957e-05,0.003910169811301689,9.232428433629805e-06,-24.992566501674936,2.3021215922675546,,,-24.992566501674926,2.302121592267554
34S Ssulfur,0.04437570248940684,34S,1,000000020000000000000,0.8825853672864482,0.0009234795114864501,0.05028095439461563,5.2771613837136957e-05,0.04437718608159865,4.357289048727589e-06,4.859000185648258,0.09866468570074295,,,4.859000185648411,0.09866468570074026
,Stochastic U,Composition,Number,Condensed,M3 M+N Relative Abundance,M3 M+N Relative Abundance Error,UM3,UM3 Error,U Values,U Values Error,Deltas,Deltas Error,Clumped Deltas Stochastic,Clumped Deltas Stochastic Error,Clumped Deltas Relative,Clumped Deltas Relative Error
13C Cmethyl   |   18O Ocarboxyl,4.176371840458966e-05,13C18O,1,100000200000000000000,0.014025690285909049,0.00017579687635271583,0.0029741244743752217,5.705438628329048e-06,4.171412729776692e-05,5.272287564723194e-07,,,-1.1874207737506655,12.624085608583625,-40.86015567593325,12.122658201532172
13C Ccarboxyl   |   34S Ssulfur,0.0004836476722413246,13C34S,1,000010020000000000000,0.16265505329011934,0.0011021793672177519,0.0029741244743752217,5.705438628329048e-06,0.00048375719019996626,3.5208210774332323e-06,,,0.22644161220586448,7.27972298743217,10.088115792387404,7.351496991035113
13C Calphabeta   |   34S Ssulfur,0.0009625793979127961,13C34S,1,000100020000000000000,0.3236268840961254,0.0008733809881128712,0.0029741244743752217,5.705438628329048e-06,0.0009625057664442194,2.911968301842375e-06,,,-0.0764939170079122,3.025172061812798,4.8591067608442495,3.040104245312908
17O Ocarboxyl   |   34S Ssulfur,3.328307867159988e-05,17O34S,1,000000120000000000000,0.01118903692040101,2.2456745972045816e-05,0.0029741244743752217,5.705438628329048e-06,3.327759369339013e-05,9.421824801847516e-08,,,-0.1647978020275138,2.8308152904998756,-8.259630617504675,2.8078965370315854
18O Ocarboxyl   |   33S Ssulfur,3.088526909282195e-05,18O33S,1,000000210000000000000,0.010380869715443134,2.104526370751126e-05,0.0029741244743752217,5.705438628329048e-06,3.087399835286489e-05,8.604875254868726e-08,,,-0.36492283499788153,2.7860774756431,-22.66300228062261,2.7239306199427755
34S Ssulfur   |   15N Namine,0.00016475631531443684,34S15N,1,000000021000000000000,0.05539856618360569,0.00010617624913832716,0.0029741244743752217,5.705438628329048e-06,0.000164761626623683,1.697161513539498e-08,,,0.03223736362550722,0.1030104072369203,14.906267221132559,0.10454253771794816
,Stochastic U,Composition,Number,Condensed,M4 M+N Relative Abundance,M4 M+N Relative Abundance Error,UM4,UM4 Error,U Values,U Values Error,Deltas,Deltas Error,Clumped Deltas Stochastic,Clumped Deltas Stochastic Error,Clumped Deltas Relative,Clumped Deltas Relative Error
13C Cmethyl   |   13C Cgamma   |   34S Ssulfur,5.111365523681106e-06,13C13C34S,1,110000020000000000000,0.01423636521379348,2.761289771407239e-05,0.00035903639167738076,5.751306889608381e-07,5.111373435020034e-06,1.2952074399120204e-08,,,0.0015477936155939816,2.533975380769165,-15.862224983794455,2.493777033323836
13C Ccarboxyl   |   34S Ssulfur   |   15N Namine,1.7956675369343586e-06,13C34S15N,1,000010021000000000000,0.005003639221315562,6.078610739494947e-05,0.00035903639167738076,5.751306889608381e-07,1.7964971247156071e-06,2.2703280651269467e-08,,,0.46199408531059216,12.643365313620071,20.429139970238726,12.895700655877938
18O Ocarboxyl   |   18O Ocarboxyl,3.824417155586741e-06,18O18O,1,000002200000000000000,0.010644728918568973,2.084185470961589e-05,0.00035903639167738076,5.751306889608381e-07,3.821844660263327e-06,9.507774961964023e-09,,,-0.6726502938257595,2.4860716222013,-49.48792319519335,2.364631670892269
18O Ocarboxyl   |   34S Ssulfur,0.00017356328674881637,18O34S,1,000000220000000000000,0.4832956394667016,0.0006398357676209876,0.00035903639167738076,5.751306889608381e-07,0.00017352073347062455,3.658235334839307e-07,,,-0.2451744201719015,2.107724164116319,-20.26403833861836,2.0655195734112044
36S Ssulfur,0.00010623918066854415,36S,1,000000040000000000000,0.29591594616448363,0.0004735812225919928,0.00035903639167738076,5.751306889608381e-07,0.00010624432171878168,1.0684628242748302e-08,9.217106966408759,0.10149351447412264,,,9.217106966408496,0.10149351447411965
