,IDS,Number,deltas,full_01,133_01,104_01,102_01,61_01,56_01,VPDB etc. Deltas,VPDB etc. Deltas Error,Relative Deltas,Relative Deltas Error,M1 M+N Relative Abundance,M1 M+N Relative Abundance Error,UM1,UM1 Error,Calc U Values,Calc U Values Error
Cmethyl,C,1,-44.702837100858225,1,1,1,x,1,x,-44.702837100858225,2.1736520639170482,-15.157564021503378,2.240878416409324,0.15657007106053583,0.00036849327057203376,0.0682137045322807,1.7506162635279628e-05,0.010680222281212404,2.430143007459259e-05
Cgamma,C,1,-34.98251460960204,1,1,1,1,1,1,-34.98251460960204,3.320768052795915,-5.136612999589709,3.4234722193772313,0.15816313811468782,0.0005344969984078689,0.0682137045322807,1.7506162635279628e-05,0.010788895486664634,3.712618683025833e-05
Calphabeta,C,2,-29.917030802280852,1,1,1,1,x,1,-29.917030802280852,1.5221482625124738,0.08553525538053917,1.5692250128994554,0.3179867663201435,0.0004934753808301309,0.0682137045322807,1.7506162635279628e-05,0.021691055191261042,3.403523514977891e-05
Ccarboxyl,C,1,-25.49310297614765,1,1,x,1,x,x,-25.49310297614765,2.017378075048269,4.646285591600299,2.0797712113899665,0.15971848660690724,0.0003457704198829691,0.0682137045322807,1.7506162635279628e-05,0.010894987108726687,2.2554286879039663e-05
Ocarboxyl,O,2,-4.012283313589591,1,1,x,1,x,x,-4.012283313589591,10.612611171552004,-4.0122833135895855,10.612611171552,0.011093816522526929,0.00011658869182177266,0.0682137045322807,1.7506162635279628e-05,0.0007567514671383339,8.063461968145211e-06
Ssulfur,S,1,2.588204671643708,1,1,1,x,1,x,2.588204671643708,0.962738768838255,2.5882046716437066,0.962738768838252,0.1157741890616929,9.059122469586964e-05,0.0682137045322807,1.7506162635279628e-05,0.007897387288198544,7.583493282138895e-06
Namine,N,1,10.140047215249394,1,x,1,1,x,1,10.140047215249394,0.9207643319101544,10.140047215249266,0.9207643319101535,0.05443590321802998,4.4213636947630746e-05,0.0682137045322807,1.7506162635279628e-05,0.003713274813563256,3.3847296841017245e-06
Hmethyl,H,3,-250.13198646708628,1,1,1,x,1,x,-250.13198646708628,12.41262100666054,-250.13198646708628,12.412621006660547,0.005136778299983548,8.532926715595054e-05,0.0682137045322807,1.7506162635279628e-05,0.00035039832536365987,5.80016954399234e-06
Hgamma,H,2,-99.40958493702412,1,1,1,1,1,1,-99.40958493702412,21.58473873576455,-99.4095849370241,21.584738735764557,0.004112836177958651,9.84841737542981e-05,0.0682137045322807,1.7506162635279628e-05,0.000280551926100418,6.7240778109653705e-06
Halphabeta,H,3,-0.7441160412266888,1,1,1,1,x,1,-0.7441160412266888,27.022430305616005,-0.7441160412266881,27.022430305616002,0.006845122869340822,0.00018450460972446216,0.0682137045322807,1.7506162635279628e-05,0.0004669322894562562,1.2627041233208237e-05
Hamine,H,2,101.21404190715293,1,x,1,1,x,x,101.21404190715293,47.45955192913229,101.21404190715289,47.45955192913228,0.005029073265023305,0.0002172518546962944,0.0682137045322807,1.7506162635279628e-05,0.00034305019833491643,1.4784599616963291e-05
Hhydroxyl,H,1,251.7537799237842,1,1,x,1,x,1,251.7537799237842,55.63732973550017,251.7537799237842,55.63732973550015,0.0028582781657818085,0.00012722947428413955,0.0682137045322807,1.7506162635279628e-05,0.00019497316876092868,8.666070479601508e-06
Hprotonated,H,1,-3.4950110360354687,1,x,x,x,x,x,-3.4950110360354687,112.55161201754288,-3.495011036035469,112.5516120175429,0.0022753989557613473,0.000256711420875777,0.0682137045322807,1.7506162635279628e-05,0.0001552156170810272,1.753103908785248e-05
,Stochastic U,Composition,Number,Condensed,M2 M+N Relative Abundance,M2 M+N Relative Abundance Error,UM2,UM2 Error,U Values,U Values Error,Deltas,Deltas Error,Clumped Deltas Stochastic,Clumped Deltas Stochastic Error,Clumped Deltas Relative,Clumped Deltas Relative Error
13C Cmethyl   |   13C Cgamma,0.00011522780196634781,13C13C,1,110000000000000000000,0.002290757337044295,4.259621108002938e-06,0.050293030918079316,5.021284558123982e-05,0.00011520913047037882,2.435734097826833e-07,,,-0.16203985193096404,2.113842368127606,-20.375082483375586,2.0711082575955473
13C Cmethyl   |   13C Ccarboxyl,0.00011636088407214452,13C13C,1,100010000000000000000,0.002325382465260185,6.763868243952429e-05,0.050293030918079316,5.021284558123982e-05,0.0001169496904664726,3.374422458744994e-06,,,5.06017463706299,28.999628918708012,-5.575075438409088,28.692763406145342
13C Cmethyl   |   13C Calphabeta,0.00023166529095671376,13C13C,1,100100000000000000000,0.004591227310772485,3.221601221377752e-05,0.050293030918079316,5.021284558123982e-05,0.00023090676499639068,1.6404449573775553e-06,,,-3.274232221801386,7.081099419783473,-18.298203926737948,6.974363704944055
13C Ccarboxyl   |   15N Namine,4.045608122493111e-05,13C15N,1,000010001000000000000,0.000804211960687495,1.1361970170896478e-05,0.050293030918079316,5.021284558123982e-05,4.044608916118273e-05,5.608811891646753e-07,,,-0.2469854579551634,13.863952517947574,14.582797258626176,14.069602713989577
13C Cmethyl   |   15N Namine,3.965860040008315e-05,13C15N,1,100000001000000000000,0.000788444500959,1.147611671161746e-05,0.050293030918079316,5.021284558123982e-05,3.965310978697178e-05,5.678661235217917e-07,,,-0.13844697129922343,14.318864452932148,-5.308946253313682,14.244818523124284
13C Calphabeta   |   33S Ssulfur,0.0001713026635350776,13C33S,1,000100010000000000000,0.0033992333017484715,1.596873122996021e-05,0.050293030918079316,5.021284558123982e-05,0.0001709577652558994,8.251834797344363e-07,,,-2.013385385029886,4.817108284866005,0.6551922101205561,4.829989046044724
15N Namine   |   D Hamine,1.273839661264925e-06,15ND,1,000000001000000000100,-0.000165125960379937,0.0008908480191189622,0.050293030918079316,5.021284558123982e-05,-8.347975562703156e-06,4.4811347752594375e-05,,,-7553.395860208638,35178.16968275004,-8289.869136426316,39131.50661374555
17O Ocarboxyl   |   15N Namine,2.8100261630518214e-06,17O15N,1,000000101000000000000,0.0002462659209705167,0.0008931551070310436,0.050293030918079316,5.021284558123982e-05,1.2428918933832748e-05,4.493129130767045e-05,,,3423.0616416518983,15989.634508908977,3449.985167991628,16086.964679894887
17O Ocarboxyl   |   33S Ssulfur,5.97635941690388e-06,17O33S,1,000000110000000000000,0.00011291799816842566,0.0009840824124441557,0.050293030918079316,5.021284558123982e-05,5.677360796759789e-06,4.9491802491704216e-05,,,-50.03022731504038,8281.262728563268,-51.39292404481125,8269.383561495992
18O Ocarboxyl,0.003979456036536886,18O,1,000000200000000000000,0.07777325276232533,0.0001561719836325953,0.050293030918079316,5.021284558123982e-05,0.003911452287536285,8.628278837812002e-06,-24.672778890810893,2.151475872185318,,,-24.672778890810864,2.1514758721853187
33S Ssulfur   |   15N Namine,2.9325169310222253e-05,33S15N,1,000000011000000000000,0.00039256769902041005,0.000890099166482541,0.050293030918079316,5.021284558123982e-05,1.970011876155335e-05,4.4746590612749315e-05,,,-328.2180725658684,1525.8766331197758,-319.64983238782514,1545.3384211505597
34S Ssulfur,0.044384545335207644,34S,1,000000020000000000000,0.8823722277319952,0.0008726541645254625,0.050293030918079316,5.021284558123982e-05,0.044377130137434107,4.485726197124581e-06,4.8577334086771975,0.10157296438897218,,,4.857733408677353,0.10157296438897971
,Stochastic U,Composition,Number,Condensed,M3 M+N Relative Abundance,M3 M+N Relative Abundance Error,UM3,UM3 Error,U Values,U Values Error,Deltas,Deltas Error,Clumped Deltas Stochastic,Clumped Deltas Stochastic Error,Clumped Deltas Relative,Clumped Deltas Relative Error
